iter	Passed	Remaining
0	92	46179
1	162	40379
2	240	39776
3	298	37069
4	375	37193
5	442	36402
6	509	35914
7	579	35641
8	648	35378
9	712	34896
10	773	34400
11	834	33949
12	893	33478
13	949	32959
14	1007	32566
15	1065	32236
16	1123	31931
17	1185	31753
18	1246	31563
19	1303	31282
20	1360	31031
21	1421	30892
22	1482	30749
23	1543	30611
24	1657	31484
25	1722	31394
26	1781	31208
27	1846	31119
28	1906	30962
29	1976	30958
30	2046	30963
31	2115	30944
32	2201	31155
33	2300	31535
34	2368	31470
35	2475	31907
36	2558	32014
37	2641	32120
38	2717	32120
39	2803	32244
40	2880	32242
41	2990	32614
42	3050	32417
43	3105	32181
44	3172	32072
45	3229	31876
46	3287	31685
47	3342	31475
48	3404	31334
49	3459	31132
50	3518	30977
51	3574	30792
52	3632	30636
53	3697	30541
54	3748	30332
55	3804	30165
56	3862	30018
57	3919	29868
58	3974	29708
59	4029	29552
60	4084	29394
61	4147	29297
62	4203	29159
63	4262	29038
64	4316	28887
65	4372	28750
66	4432	28643
67	4488	28518
68	4547	28404
69	4604	28285
70	4662	28171
71	4719	28053
72	4774	27928
73	4831	27813
74	4888	27698
75	4944	27582
76	5001	27473
77	5056	27356
78	5118	27277
79	5175	27169
80	5231	27062
81	5285	26943
82	5338	26822
83	5390	26693
84	5452	26621
85	5508	26518
86	5566	26425
87	5623	26328
88	5682	26241
89	5742	26159
90	5800	26069
91	5856	25971
92	5917	25895
93	5971	25791
94	6034	25724
95	6089	25626
96	6153	25565
97	6209	25471
98	6266	25380
99	6320	25280
100	6377	25193
101	6434	25105
102	6491	25021
103	6551	24944
104	6607	24855
105	6665	24774
106	6722	24691
107	6775	24594
108	6834	24517
109	6890	24431
110	6947	24346
111	7015	24302
112	7071	24218
113	7130	24144
114	7191	24076
115	7250	24000
116	7311	23935
117	7366	23848
118	7429	23786
119	7483	23696
120	7534	23598
121	7592	23524
122	7659	23475
123	7719	23408
124	7779	23338
125	7837	23264
126	7887	23164
127	7935	23062
128	7987	22972
129	8042	22890
130	8100	22816
131	8160	22751
132	8214	22667
133	8270	22589
134	8323	22503
135	8374	22414
136	8429	22334
137	8516	22340
138	8599	22333
139	8663	22277
140	8716	22194
141	8777	22128
142	8838	22066
143	8904	22014
144	8962	21941
145	9019	21870
146	9070	21781
147	9124	21701
148	9193	21656
149	9253	21592
150	9313	21526
151	9375	21465
152	9443	21418
153	9502	21349
154	9572	21307
155	9636	21249
156	9707	21209
157	9774	21156
158	9824	21070
159	9878	20992
160	9940	20930
161	9996	20857
162	10064	20808
163	10129	20752
164	10190	20689
165	10248	20621
166	10297	20532
167	10359	20472
168	10420	20409
169	10486	20356
170	10546	20290
171	10615	20243
172	10677	20183
173	10740	20122
174	10802	20061
175	10858	19988
176	10913	19915
177	10974	19852
178	11069	19850
179	11140	19805
180	11191	19724
181	11251	19659
182	11307	19586
183	11365	19518
184	11416	19439
185	11479	19378
186	11541	19318
187	11591	19236
188	11640	19155
189	11691	19075
190	11776	19052
191	11865	19034
192	11931	18979
193	11988	18909
194	12048	18844
195	12114	18789
196	12164	18709
197	12222	18642
198	12274	18566
199	12319	18479
200	12378	18413
201	12433	18341
202	12483	18263
203	12535	18188
204	12589	18116
205	12640	18040
206	12699	17975
207	12751	17900
208	12802	17826
209	12853	17750
210	12912	17686
211	12963	17610
212	13013	17534
213	13068	17465
214	13120	17391
215	13178	17326
216	13231	17255
217	13287	17188
218	13345	17123
219	13399	17053
220	13450	16980
221	13499	16904
222	13553	16835
223	13617	16778
224	13667	16704
225	13719	16633
226	13777	16569
227	13832	16502
228	13894	16442
229	13951	16378
230	14016	16321
231	14071	16255
232	14127	16189
233	14179	16118
234	14232	16049
235	14281	15975
236	14343	15916
237	14405	15857
238	14461	15792
239	14517	15727
240	14571	15660
241	14626	15593
242	14680	15525
243	14727	15451
244	14777	15380
245	14824	15306
246	14880	15242
247	14938	15179
248	14992	15112
249	15050	15050
250	15107	14987
251	15162	14922
252	15218	14857
253	15278	14796
254	15337	14736
255	15406	14684
256	15457	14615
257	15518	14555
258	15576	14493
259	15629	14427
260	15678	14356
261	15741	14299
262	15807	14244
263	15869	14186
264	15925	14122
265	15980	14057
266	16034	13992
267	16084	13924
268	16136	13856
269	16187	13789
270	16236	13720
271	16296	13660
272	16349	13594
273	16397	13525
274	16445	13455
275	16501	13392
276	16557	13329
277	16611	13265
278	16669	13204
279	16745	13156
280	16801	13094
281	16866	13038
282	16919	12973
283	16971	12908
284	17020	12840
285	17066	12770
286	17119	12705
287	17169	12638
288	17229	12579
289	17282	12515
290	17343	12456
291	17405	12398
292	17460	12335
293	17517	12274
294	17571	12210
295	17624	12146
296	17680	12084
297	17722	12013
298	17778	11951
299	17824	11883
300	17881	11822
301	17940	11762
302	17994	11699
303	18049	11637
304	18102	11573
305	18155	11510
306	18212	11449
307	18259	11382
308	18309	11317
309	18370	11259
310	18430	11200
311	18496	11145
312	18554	11085
313	18611	11024
314	18656	10957
315	18707	10892
316	18760	10830
317	18820	10771
318	18872	10708
319	18923	10644
320	18977	10582
321	19033	10521
322	19083	10457
323	19141	10397
324	19189	10332
325	19239	10269
326	19296	10208
327	19354	10149
328	19399	10083
329	19444	10016
330	19508	9960
331	19555	9895
332	19613	9835
333	19675	9778
334	19728	9716
335	19783	9656
336	19831	9592
337	19880	9528
338	19925	9463
339	19977	9401
340	20025	9337
341	20066	9270
342	20121	9210
343	20180	9151
344	20241	9094
345	20295	9033
346	20348	8971
347	20395	8908
348	20444	8845
349	20500	8785
350	20546	8722
351	20610	8665
352	20667	8606
353	20722	8546
354	20782	8488
355	20836	8428
356	20896	8370
357	20951	8310
358	20998	8247
359	21047	8185
360	21110	8128
361	21167	8069
362	21271	8028
363	21329	7969
364	21377	7906
365	21428	7845
366	21480	7784
367	21545	7728
368	21612	7672
369	21669	7613
370	21723	7553
371	21778	7493
372	21838	7435
373	21892	7375
374	21949	7316
375	22011	7259
376	22066	7199
377	22119	7139
378	22171	7078
379	22222	7017
380	22274	6957
381	22348	6903
382	22447	6857
383	22510	6800
384	22563	6739
385	22613	6678
386	22659	6616
387	22717	6557
388	22770	6497
389	22823	6437
390	22871	6375
391	22917	6313
392	22968	6253
393	23020	6193
394	23095	6139
395	23150	6079
396	23201	6019
397	23259	5960
398	23311	5900
399	23361	5840
400	23415	5780
401	23474	5722
402	23533	5664
403	23604	5609
404	23656	5549
405	23707	5488
406	23758	5428
407	23812	5369
408	23865	5309
409	23918	5250
410	23972	5191
411	24029	5132
412	24078	5072
413	24135	5013
414	24196	4955
415	24247	4896
416	24296	4836
417	24353	4777
418	24403	4717
419	24451	4657
420	24501	4597
421	24557	4539
422	24612	4480
423	24665	4421
424	24730	4364
425	24780	4304
426	24841	4246
427	24897	4188
428	24962	4131
429	25023	4073
430	25085	4016
431	25144	3957
432	25203	3899
433	25267	3842
434	25321	3783
435	25373	3724
436	25421	3664
437	25469	3605
438	25520	3546
439	25586	3489
440	25647	3431
441	25698	3372
442	25746	3312
443	25791	3253
444	25849	3194
445	25909	3137
446	25959	3078
447	26010	3019
448	26063	2960
449	26121	2902
450	26181	2844
451	26239	2786
452	26297	2728
453	26351	2669
454	26400	2611
455	26455	2552
456	26508	2494
457	26574	2437
458	26639	2379
459	26692	2321
460	26752	2263
461	26814	2205
462	26859	2146
463	26914	2088
464	26976	2030
465	27033	1972
466	27082	1913
467	27137	1855
468	27187	1797
469	27236	1738
470	27285	1680
471	27336	1621
472	27380	1562
473	27438	1505
474	27491	1446
475	27554	1389
476	27613	1331
477	27675	1273
478	27733	1215
479	27778	1157
480	27838	1099
481	27892	1041
482	27944	983
483	27993	925
484	28049	867
485	28092	809
486	28145	751
487	28197	693
488	28254	635
489	28311	577
490	28383	520
491	28432	462
492	28495	404
493	28554	346
494	28608	288
495	28669	231
496	28720	173
497	28777	115
498	28828	57
499	28881	0
